"Categoria","Usuario","Comentario"
"Vestuario","Kari
Hace 2 Días  ","La verdad es que los compré sin ninguna gran expectativa por los comentarios, pero me quedaron bien, la talla corresponde y tienen buen calce (celeste y azul oscuro)"
"Vestuario","Cristina
Hace 4 Días  ","El pantalon venia todo sucio y con el cierre roto ademas sin ninguna etiqueta una decilusion"
"Vestuario","María jose
Hace 6 Días  ","Buen calce, cómodo y tiro alto, feliz con mi comprá."
"Vestuario","cami
Hace 7 Días  ","compré el celeste y el negro, el celeste queda perfecto pero el negro corre la talla más pequeña, pedir 1 o 2 tallas más
<U+2714> Sí, recomiendo este producto."
"Vestuario","Maite
Hace 7 Días  ","Es igual a cómo se muestra en la foto, pedí una talla más y me quedó grande les recomiendo pedir tu talla son elástico y se adapta al cuerpo
<U+2714> Sí, recomiendo este producto."
"Vestuario","Javi
Hace 16 Días  ","Porfavor traigan stock del CELESTE talla 34!!!!
<U+2714> Sí, recomiendo este producto."
"Vestuario","Valentina
Hace 21 Días  ","El jeans negro es modelo chico, por lo tanto hay que pedir una talla más. Además, es tiro medio y no alto, la tela es rígida y se arruga a nivel de las rodillas. Llegó un día después de que me hayan confirmado el pedido.
<U+2714> Sí, recomiendo este producto."
"Vestuario","Anónimo
Hace 22 Días  ","Pedí la misma talla de siempre y me quedo super bien, tela no gruesa y llegó en 3 días
<U+2714> Sí, recomiendo este producto."
"Vestuario","Fernanda
Hace 22 Días  ","Me quedaron súper!! Ahora me quiero comprar los negros pero, cual es la talla 40/30/10 ???
<U+2714> Sí, recomiendo este producto."
"Vestuario","Antonia
Hace 22 Días  ","Compré el celeste y queda muy bien, es una tela que puedes ocupar tanto en invierno como en las noches de verano. Tiene un buen calce, yo soy 42 y quedó perfecto.
<U+2714> Sí, recomiendo este producto."
"Vestuario","Clau
Hace 23 Días  ","Es tal cual ala foto es elasticado pero talla pequeña, pedir 1 talla más si no quieres que te quede tan ajustado.."
"Vestuario","Claudia
Hace Un Mes  ","Me gusto mucho el jeans cómodo, elásticado livianito...
<U+2714> Sí, recomiendo este producto."
"Vestuario","Vale
Hace Un Mes  ","La tela es moderadamente elasticada pero comoda, lo malo es que es MUY skinny porque compré una talla más y aún así me quedó algo ajustado de muslos y gemelos, aún así el color es muu lindo tal cual a las imágenes
<U+2714> Sí, recomiendo este producto."
"Vestuario","Constanza
Hace Un Mes  ","Es elasticado y realmente es cómodo
Soy de piernas anchas y siento que se adapta al cuerpo. Con el uso no siento que se desgana Como otros. Recomendable.
<U+2714> Sí, recomiendo este producto."
"Vestuario","Dany
Hace Un Mes  ","Tiro alto, super comodos, Elásticados, NO pidan una talla más al menos en el azul oscuro y celeste la talla corresponde si no te quedaran sueltos
<U+2714> Sí, recomiendo este producto."
"Vestuario","Sssss
Hace Un Mes  ","Cual es el mas obscure el azul o el azul 1??????"
"Vestuario","Anónima
Hace Un Mes  ","Es elasticado, la tela es algo tiesa pero nada terrible. Medidas: tiro 28 cm, cintura 77cm, cadera 92 cm, largo 89 cm. Yo mido 1.55, cintura 84 cm, cadera 101 cm y el talla 42 me quedo como debe ser un skinny, o sea bien ajustado pero no asfixiante. Si no les gusta los jeans muy apegados recomiendo pedir una talla mas. Modelo Amy para las que conocen la marca sybilla.
<U+2714> Sí, recomiendo este producto."
"Vestuario","Valentina
Hace Un Mes  ","Quién compro el celeste? Que tal las medidas? Son como lo dice la tabla? O hay que comprar una talla más, me sería de gran utilidad si me contestaran, gracias."
"Vestuario","Jorgelina
Hace Un Mes  ","Compré en azul y negro, los tengo hace mucho tiempo y utilizo de forma regular, no han desteñido, no se han soltado... excelente calidad, me encanta el largo y el tiro, muy cómodos y combinables
<U+2714> Sí, recomiendo este producto."
"Vestuario","Bárbara Ibaceta
Hace 3 Meses  ","Tengo en negro y azul, y realmente me encantan. Son de tela un poco rígida, al comienzo pensé que no me iban a quedar, pero si dan."
"Vestuario","Sofia
Hace 3 Meses  ","Es lindo pero su material es muy mala calidad , es muy rigido, este modelo no me gusto."
"Vestuario","Yesii
Hace 3 Meses  ","Compre el color azul y la tela es super dura, segui tabla de tallas por que me encanta sibylla pero este modelo me decepciono un poco me quedo justo asi que recomendaria comprar una talla mas..."
"Vestuario","Anónimo
Hace 3 Meses  ","Compre talla 42 siendo 40 caderas anchas... me quedaron bien pero se estiran un poco al pasar el tiempo pero no en exceso
<U+2714> Sí, recomiendo este producto."
"Vestuario","Nicolee
Hace 3 Meses  ","Muy buena calidad, llevo meses usando y sin problema. No destiño más de lo normal en el primer lavado y no son tan elasticados algo que me gusta
<U+2714> Sí, recomiendo este producto."
"Vestuario","yajaira
Hace 4 Meses  ","el blanco se transluce un poco, pero es delgado y muy cómodo para el verano
<U+2714> Sí, recomiendo este producto."
"Vestuario","Emely
Hace 4 Meses  ","Pongo 5 estrellas para q publican el comentario, pero mala calidad primera postura, me los subo y qdo con la pretina en la mano"
"Vestuario","Mayy
Hace 4 Meses  ","Pedi el azul claro de talla quedó bien pero me llegó con la cremallera mala"
"Vestuario","Arasely
Hace 4 Meses  ","Compré mi talla que es 38 pero me quedo apretado y no es elasticado para la otra compraré una talla más ya que no me darían hacer el cambio cuando llame
<U+2714> Sí, recomiendo este producto."
"Vestuario","Constanza
Hace 4 Meses  ","Compre el modelo celeste clarito en la tienda en 38 y quedo perfecto, luego pedí en negro 38 y me quedo más ajustado, no es tan elásticas como el otro pero con el uso quedo casi casi igual, entonces recomiendo pedir una talla más en ese color.
<U+2714> Sí, recomiendo este producto."
"Vestuario","Rocío
Hace 5 Meses  ","Compré este modelo en dos colores diferentes, el color azul oscuro en talla 40 y el azul claro en talla 38 y lamentablemente llegaron las tallas cambiadas, realmente lamentable ya que los tiempos no están para ir a la tienda a cambiar los productos. En cuanto al modelo, quedan muy bonitos y cómodos, solo que no me pude quedar con el color que quería debido a la talla incorrecta.
<U+2714> Sí, recomiendo este producto."
"Vestuario","Katy
Hace 5 Meses  ","Normalmente soy talla 42 en jeans y en estos compre una talla más por q sub siempre son más chicos comúnmente, y me quedaron super. Soy ancha de caderas y muslos y me quedaron ajustados pero bien. Son elacticados. El negro no es tan oscuro. Compre negro y azul, por el precio nada q decir.
<U+2714> Sí, recomiendo este producto."
"Vestuario","Marbelly
Hace 5 Meses  ","Soy talla 34 normalmente, compré el negro en 36 me quedó súper bien, no es muy elasticado! Contenta con la compra"
"Vestuario","Diana
Hace 5 Meses  ","Es lindo el modelo pero demaciado apretado ya que no es nada elasticado recomiendo comprar 2 tallas mas de la que usan y es de tiro medio"
"Vestuario","Karen
Hace 6 Meses  ","Compre el negro en mi talla 38 y me quedo súper bien. El modelo es amy
<U+2714> Sí, recomiendo este producto."
"Vestuario","Tatiana
Hace 6 Meses  ","Me encanto!! Cómodos y la talla perfecta compre 40 que uso siempre y me quedaron muy bien. Excelente compra y entrega muy rápida
<U+2714> Sí, recomiendo este producto."
"Vestuario","fernanda
Hace 6 Meses  ","hay que pedir una talla más ya que es muy justo de cadera y cintura, pero es perfecto!
<U+2714> Sí, recomiendo este producto."
"Vestuario","Angela
Hace 6 Meses  ","Muy cómodos... no había comprado nunca la marca pero encontré lo que buscaba blanco, rasgado y tiro alto, ademas me llegaron en la fecha estipulada, así que muy feliz<U+263A>
<U+2714> Sí, recomiendo este producto."
"Vestuario","Maca
Hace 6 Meses  ","Compré el jeans negro, pedí mi talla normal 36 porque ya tenía el jeans azul, pero es muy pequeño el modelo en ese color y no es elásticado
<U+2714> Sí, recomiendo este producto."
"Vestuario","Anaa
Hace 6 Meses  ","Soy talla 38, pedí este jeans en 38 y me quedo pequeño. Recomendaría pedir una talla más"
"Vestuario","Paulina
Hace 6 Meses  ","Lo tengo en dos colores y el calce es súper lindo pero el blanco se trasluce todo, incluso con ropa interior blanca
<U+2714> Sí, recomiendo este producto."
"Vestuario","Anita
Hace 6 Meses  ","Pedí el azul claro y me llego el otro, igual me los quede, quedan lindos, soy 40 pero compre 42, me guié por la tabla y comentarios y quedaron muy bien.
<U+2714> Sí, recomiendo este producto."
"Vestuario","Victoria
Hace 6 Meses  ","Es lindo, pero duro y chico, pedí una talla más para que me quede holgado y aún así me quedó súper apretado, no es ni un poco elasticado. El modelo es Amy."
"Vestuario","Fresia
Hace 6 Meses  ","El jeans tiene la tela muy rígida por ello no me quedó, compre otro modelo igual sybilla y me quedo bien talla 42"
"Vestuario","Tamara
Hace 6 Meses  ","Me compré el celeste y el negro, ambos en talla 40. El celeste me quedó perfecto, nada que decir, pero el negro me quedó muy ajustado y corto del tiro, lo tuve que cambiar por una 42. Aparentemente las telas son distintas, la del celeste es más dócil y elasticada, en cambio la del negro es más tiesa y poco elasticada, así que recomiendo que si van a comprar en celeste, compren su talla que corresponde pero el negro en una o dos tallas más."
"Vestuario","Ingrid
Hace 6 Meses  ","Me compre el jeans en blanco guiandome por los comentarios y la verdad que es muy chico de la cintura , compré 46 y no me subio ni el cierre ....y la tela se transluce demasiado ,lo tendre que cambiar por color y talla.
<U+2714> Sí, recomiendo este producto."
"Vestuario","Paola
Hace 6 Meses  ","En general uso entre talla 38 y 40. Pedí el 40 y quedó perfecto.
<U+2714> Sí, recomiendo este producto."
"Vestuario","Domen7ca
Hace 6 Meses  ","Conforme con la compra y la talla que quedó perfecta, es un poco elasticado pero bien
<U+2714> Sí, recomiendo este producto."
"Vestuario","gloria
Hace 7 Meses  ","las tallas del jeans son mas pequeñas al que debería ser,la talla M definitivamente es una S ,ahora hay que hacer el largo tramite de cambiarlo ."
"Vestuario","Antonella
Hace 7 Meses  ","Por si a alguien le ayuda yo soy entre 38 y 40, compre los talla 40 en negro y me quedaron perfectos. Como información la tela del jeans es algo gruesa, son tiro medio alto y elásticado, mido 1.67 y de largo me quedaron bien perfectos para usar con botines. Me encantaron!
<U+2714> Sí, recomiendo este producto."
"Vestuario","Belén
Hace 7 Meses  ","Sí es tiro alto, es tela gruesa y elásticada me quedo bien de tiro. Soy 38 y pedí 38, me quedo bien.
<U+2714> Sí, recomiendo este producto."
"Vestuario","Valentina
Hace 7 Meses  ","Estoy hace un mes metiéndome a la pagina viendo y vuelven a subir talla 46, son preciosos y son mis jeans favoritos
<U+2714> Sí, recomiendo este producto."
"Vestuario","Paulina
Hace 7 Meses  ","Son lindos y comodos y todo lo que digan, El modelo es el Amy para quien compra con nombre, lo unico que el azul oscuro no es el mismo que muestra la imagen, es muy oscuro. Lo demas todo Ok
<U+2714> Sí, recomiendo este producto."
"Vestuario","Carolina
Hace 7 Meses  ","No es elásticado pedí mi talla 42 y me quedó pequeño el tiró es medio"
"Vestuario","yasmin
Hace 7 Meses  ","Tengo varios jeans de esta marca el modelo es amy primera vez que lo compro soy 42 por los comentarios me compre 44 de todas formas me quedo un poco ajustado, el tiro es medio."
"Vestuario","Samira
Hace 7 Meses  ","Son súper cómodos y elasticados, te dejan moverte con facilidad y no se deforman con los lavados 10/10
<U+2714> Sí, recomiendo este producto."
"Vestuario","Cata
Hace 7 Meses  ","Primera vez que compro esta marca y normalmente soy talla 38 en americanino pero acá soy 36 y me queda perfecto
<U+2714> Sí, recomiendo este producto."
"Vestuario","Karin
Hace 7 Meses  ","Me compré el blanco y quedé muy conforme. Es tiro alto, no se cae, no es grueso ni muy delgado. Soy talla 42 pero me compré un 44 y como es elásticado me quedó perfecto. Mido 1,67 y me quedó justo de largo. Lo recomiendo!
<U+2714> Sí, recomiendo este producto."
"Vestuario","Caro
Hace 7 Meses  ","Muy bonitos, soy 38 y pedí 40 me quedaron muy bien!!
<U+2714> Sí, recomiendo este producto."
"Vestuario","camila
Hace 7 Meses  ","Compre mi talla 40, como lo hago siempre, también guiándome por la tabla de tallas y pésimo, me quedaron súper chicos. Recomiendo comprar una talla más a la habitual."
"Vestuario","Nayareth
Hace 7 Meses  ","Me encanto queda muy lindo puesto, soy talla 40 y la talla es la correcta aún que no son elásticados, queda muy bien!
<U+2714> Sí, recomiendo este producto."
"Vestuario","Denis segovia
Hace 7 Meses  ","Me gustó el pantalón el único problema que no es tiro alto como dice si no más bien tiro medio además que me aprieta un poco en la cintura eso que escogí un 42 pero el diseño y color son muy lindos y llegó como en una semana
<U+2714> Sí, recomiendo este producto."
"Vestuario","Natalia Vidal
Hace 7 Meses  ","Me encanta el diseño y es súper cómodo de usar, cierra bien, me compre talla 40 y me quedo súper!
<U+2714> Sí, recomiendo este producto."
"Vestuario","Clau
Hace 8 Meses  ","Si lo van a encargar comprar una talla más, además es más bien tiro medio y revisar antes, porque el mío llegó con el cierre malo"
"Vestuario","Nicole
Hace 8 Meses  ","Es muy lindo y se adapta a tu cuerpo. Eso sí, no es tiro alto, sino más bien tiro medio. Compré un 38 y mi cintura es de 68 cms, me quedo bien
<U+2714> Sí, recomiendo este producto."
"Vestuario","Giselle
Hace 8 Meses  ","Compré dos uno en celeste 38 y otro negro en 36 para mis cuñadas y les quedaron pequeños, yo soy 36 en la marca y el 38 me queda bien, así que recomiendo pedir una talla más o incluso dos
<U+2714> Sí, recomiendo este producto."
"Vestuario","Andrea
Hace 8 Meses  ","Es muy buena la tela, me guie por los comentarios, soy 38 y pedi un 40 y me quedaron perfectos, se ajusta muy bien al cuerpo y lo mejor es que no se demoro nada en llegar!"
"Vestuario","Julieta
Hace 8 Meses  ","Lindos. Yo lo pedí en talla 34 en color celeste y negro, el celeste es un un poco mas grande que el negro. Les recomiendo pedir 1 o 2 tallas mas porque yo los tuve que cambiar porque me apretaba mucho el tobillo
<U+2714> Sí, recomiendo este producto."
"Vestuario","Anais
Hace 8 Meses  ","Es muy lindo. Se ajusta a tu figura. Me gustó mucho. Soy talla 40 y lo pedí en esa misma, me quedó hermoso
<U+2714> Sí, recomiendo este producto."
"Vestuario","Yessenia
Hace 8 Meses  ","Es muy lindo, me compre el jeans Negro. En mi talla. Me quedo super bien. No compren talla mas o talla menos. Tiene que ser su talla exacta. No se cae, queda ajustado en las piernas, pero arriba no apretá. Super lindo <U+2665><U+FE0F>
<U+2714> Sí, recomiendo este producto."
"Vestuario","Bárbara
Hace 8 Meses  ","Me compre el jeans negro talla 36 y me quedo super bien aunque un poco apretado en las piernas ya que tengo piernas grandes. Me llego muy rápido, es de tela gruesa y rígida."
"Vestuario","Tamara
Hace 8 Meses  ","Está súper el pantalón, solo un poco cortos, pero igual puede ser que soy más alta, pero la talla es muy precisa y quedan muy bien.
<U+2714> Sí, recomiendo este producto."
"Vestuario","Claudia
Hace 8 Meses  ","Escogí el negro, la tela es de buena calidad, llego en perfectas condiciones
<U+2714> Sí, recomiendo este producto."
"Vestuario","Gabi
Hace 8 Meses  ","los compre según la tabla de tallas y todo perfecto, se ven muy bonitos
<U+2714> Sí, recomiendo este producto."
"Vestuario","Aline
Hace 8 Meses  ","Me gustó muchísimo me compre el negro en mi talla (40) y súper quedan súper lindos no son tan elasticados y no son como todos los jeans de ahora que son cortos
<U+2714> Sí, recomiendo este producto."
"Vestuario","Tiare
Hace 8 Meses  ","Es cómodo, no es delgado es bastante abrigador, pero no es negro como en las imágenes es como un azul oscuro pero negro no es
<U+2714> Sí, recomiendo este producto."
"Vestuario","Cata
Hace 9 Meses  ","Bellísimo es estilo moms algo fit da una hermosa figura segui los consejos de los comentarios y pedi una talla mas yo soy 42 pedi un 44 me quedaron perfectos
<U+2714> Sí, recomiendo este producto."
"Vestuario","Jessica
Hace 9 Meses  ","Me quedo bien la talla indicada solo que pierde rápido el color pero es aceptable
<U+2714> Sí, recomiendo este producto."
"Vestuario","Marcela
Hace 9 Meses  ","Compré el azul y es tal cual en la foto. La tela no es muy elásticada. Recomiendo pedir una talla más. Yo quedé conforme."
"Vestuario","Javiera
Hace 9 Meses  ","Me compré los negros y los azul claro, tal cual como en la foto, soy 40 pero me pedí una talla más y me quedaron perfectos!!
<U+2714> Sí, recomiendo este producto."
"Vestuario","Sandra
Hace 9 Meses  ","Compre el negro es tal cual la foto
Pero es modelo pequeño siempre me. Compro 36 38
Y esta vez compre 36 y me. Quedo chico muy justo y la tela no es tan elasticada
<U+2714> Sí, recomiendo este producto."
"Vestuario","Nicole
Hace 9 Meses  ","Es precioso, la talla es precisa, pero no es del tiro muy alto"
"Vestuario","marjorie D
Hace 9 Meses  ","muy bellos, el material esta genial y los detalles son tal cual se ven en las fotos
<U+2714> Sí, recomiendo este producto."
"Vestuario","Nilvia
Hace 9 Meses  ","Es muy lindo, pero la tela no es elasticado, aplasta el trasero, yo soy 38 y me queda muy apretado, así que se recomienda pedir una talla más, y así queda mejor."
"Vestuario","Yohanna
Hace 9 Meses  ","Compré el jeans negro y es muy lindo pero la horma es pequeña, más de un mes y aun no puedo cambiarlo"
"Vestuario","Coni
Hace 9 Meses  ","Es hermoso! Buena calidad de genero y me llegó a los 3 días desde que lo compré
Gracias falabella<U+2661>"
"Vestuario","javi
Hace 9 Meses  ","me compre el negro en 36 y me quedo chico, pedir una talla mas.
<U+2714> Sí, recomiendo este producto."
"Vestuario","Génesis
Hace 9 Meses  ","Leí los comentarios y compré una talla más, quedan súper bien ajustados, son gruesos, me encantaron. Muy cómodos.
<U+2714> Sí, recomiendo este producto."
"Vestuario","Tania
Hace 9 Meses  ","Queda perfecto a pesar de no ser elasticado, tela gruesa"
"Vestuario","camila
Hace 9 Meses  ","los pantalones negros, en la foto salen doblados, estan cocidos? o solo es pa la foto"
"Vestuario","Daniela
Hace 10 Meses  ","Mi compra demoró 8 días en llegar y en buen estado , leí una persona que recomendó algo sobre las tallas entonces soy 38 y compre 40 en color negro y me quedo perfecto, es aliviando y cómodo porque es tiro alto.
<U+2714> Sí, recomiendo este producto."
"Vestuario","Jessica
Hace 10 Meses  ","Me llegó un tono más oscuro que la foto, lindo calce y buen grosor de la mezclilla pero pidan una talla más"
"Vestuario","María
Hace 10 Meses  ","Compré 2 de jeans de este modelo, el azul más oscuro y el negro ... me llegaron en el tiempo estimado, sin embargo no son los mismos colores de la publicación, el negro tiene tonalidades en plomo y el jeans azul no es tan azul, además hay que tener ojo con las tallas, ya que el modelo en negro es más pequeño que el azul (en mi caso) . Apesar de esto el jeans es muy cómodo, la tela no es tan elástica y si llega con el desgastado de las imágenes. Sólo tener ojo en pedir una talla más de la que uno es ya que tiene el modelo es un poco más pequeño
<U+2714> Sí, recomiendo este producto."
"Vestuario","roxana
Hace 10 Meses  ","Lindos, calce perfecto, muy cómodos.
<U+2714> Sí, recomiendo este producto."
"Vestuario","Valeria
Hace 10 Meses  ","Compré el Jeans blanco y el modelo y calce me gustó mucho, pero se trasluce la ropa interior por ende no lo uso."
"Vestuario","Anónimo
Hace 10 Meses  ","Es muy fácil realizar la compra, y te llega en los días que te dicen, es de muy bien material y de tela gruesa, y lo mejor es que sirve para toda temporada <U+2665><U+FE0F>
<U+2714> Sí, recomiendo este producto."
"Vestuario","Cami
Hace 10 Meses  ","Buena tela, gruesa, igual al de la imagen. Muy lindos y cómodos.
<U+2714> Sí, recomiendo este producto."
"Vestuario","Javiera
Hace 11 Meses  ","Siempre compro pantalones de la marca Sybilla, sin embargo, este modelo en particular (Amy) es más pequeño, yo soy 38-40, compré 38 y me quedó muuuy apretado. Les recomiendo comprar una talla más y si están entre 2 compren la más grande...
Es poco elasticado y se ajusta muy bien al cuerpo, el color no es igual al de las imágenes eso si.
<U+2714> Sí, recomiendo este producto."
"Vestuario","Camii
Hace 11 Meses  ","Primera vez que compró está marca pero me encantaron!!!"
"Vestuario","David
Hace 11 Meses  ","Muy cómodo para usar ya que se los regalé a mi polola y dicen que son muy cómodo
<U+2714> Sí, recomiendo este producto."
"Vestuario","María
Hace Un Año  ","Mui cómodo, fresco, y no es tan pitillo como otros, lo que le da mayor comodidad
<U+2714> Sí, recomiendo este producto."
