"","text"
"1","verdad compre ninguna gran expectativa comentarios quedaron bien talla corresponde buen calce celeste azul oscuro"
"2","pantalon venia sucio cierre roto ademas ninguna etiqueta decilusion"
"3","buen calce comodo tiro alto feliz compra"
"4","compre celeste negro celeste queda perfecto negro corre talla ma pequena pedir tallas ma u si recomiendo producto"
"5","igual muestra foto pedi talla ma quedo grande recomiendo pedir talla elastico adapta cuerpo u si recomiendo producto"
"6","porfavor traigan stock celeste talla u si recomiendo producto"
"7","jeans negro modelo chico pedir talla ma ademas tiro medio alto tela rigida arruga nivel rodillas llego dia despues confirmado pedido u si recomiendo producto"
"8","pedi misma talla siempre quedo super bien tela gruesa llego dias u si recomiendo producto"
"9","quedaron super ahora quiero comprar negros talla u si recomiendo producto"
"10","compre celeste queda bien tela puedes ocupar invierno noches verano buen calce quedo perfecto u si recomiendo producto"
"11","tal ala foto elasticado talla pequena pedir talla ma si quieres quede tan ajustado"
"12","gusto jeans comodo elasticado livianito u si recomiendo producto"
"13","tela moderadamente elasticada comoda malo skinny compre talla ma aun asi quedo ajustado muslos gemelos aun asi color muu lindo tal imagenes u si recomiendo producto"
"14","elasticado realmente comodo piernas anchas siento adapta cuerpo uso siento desgana recomendable u si recomiendo producto"
"15","tiro alto super comodos elasticados pidan talla ma menos azul oscuro celeste talla corresponde si quedaran sueltos u si recomiendo producto"
"16","ma obscure azul azul"
"17","elasticado tela tiesa terrible medidas tiro cm cintura cm cadera cm largo cm mido cintura cm cadera cm talla quedo debe ser skinny bien ajustado asfixiante si gusta jeans apegados recomiendo pedir talla ma modelo amy conocen marca sybilla u si recomiendo producto"
"18","compro celeste tal medidas die tabla comprar talla ma seria gran utilidad si contestaran gracias"
"19","compre azul negro hace tiempo utilizo forma regular destenido soltado excelente calidad encanta largo tiro comodos combinables u si recomiendo producto"
"20","negro azul realmente encantan tela rigida comienzo pense iban quedar si dan"
"21","lindo material mala calidad rigido modelo gusto"
"22","compre color azul tela super dura segui tabla tallas encanta sibylla modelo decepciono quedo justo asi recomendaria comprar talla ma"
"23","compre talla caderas anchas quedaron bien estiran pasar tiempo exceso u si recomiendo producto"
"24","buena calidad llevo meses usando problema destino ma normal primer lavado tan elasticados gusta u si recomiendo producto"
"25","blanco transluce delgado comodo verano u si recomiendo producto"
"26","pongo estrellas q publican comentario mala calidad primera postura subo qdo pretina mano"
"27","pedi azul claro talla quedo bien llego cremallera mala"
"28","compre talla quedo apretado elasticado comprare talla ma darian hacer cambio llame u si recomiendo producto"
"29","compre modelo celeste clarito tienda quedo perfecto luego pedi negro quedo ma ajustado tan elasticas uso quedo casi casi igual entonces recomiendo pedir talla ma color u si recomiendo producto"
"30","compre modelo dos colores diferentes color azul oscuro talla azul claro talla lamentablemente llegaron tallas cambiadas realmente lamentable tiempos estan ir tienda cambiar productos cuanto modelo quedan bonitos comodos solo pude quedar color queria debido talla incorrecta u si recomiendo producto"
"31","normalmente talla jeans compre talla ma q sub siempre ma chicos comunmente quedaron super ancha caderas muslos quedaron ajustados bien elacticados negro tan oscuro compre negro azul precio q decir u si recomiendo producto"
"32","talla normalmente compre negro quedo super bien elasticado contenta compra"
"33","lindo modelo demaciado apretado elasticado recomiendo comprar tallas ma usan tiro medio"
"34","compre negro talla quedo super bien modelo amy u si recomiendo producto"
