"","X1","text"
"1",5,"igual muestra foto pedi talla ma quedo grande recomiendo pedir talla elastico adapta cuerpo u si recomiendo producto"
"2",6,"porfavor traigan stock celeste talla u si recomiendo producto"
"3",14,"elasticado realmente comodo piernas anchas siento adapta cuerpo uso siento desgana recomendable u si recomiendo producto"
"4",20,"negro azul realmente encantan tela rigida comienzo pense iban quedar si dan"
"5",23,"compre talla caderas anchas quedaron bien estiran pasar tiempo exceso u si recomiendo producto"
"6",24,"buena calidad llevo meses usando problema destino ma normal primer lavado tan elasticados gusta u si recomiendo producto"
"7",26,"pongo estrellas q publican comentario mala calidad primera postura subo qdo pretina mano"
"8",29,"compre modelo celeste clarito tienda quedo perfecto luego pedi negro quedo ma ajustado tan elasticas uso quedo casi casi igual entonces recomiendo pedir talla ma color u si recomiendo producto"
"9",32,"talla normalmente compre negro quedo super bien elasticado contenta compra"
"10",36,"pedir talla ma justo cadera cintura perfecto u si recomiendo producto"
"11",41,"pedi azul claro llego igual quede quedan lindos compre guie tabla comentarios quedaron bien u si recomiendo producto"
"12",52,"lindos comodos digan modelo amy compra nombre unico azul oscuro mismo muestra imagen oscuro demas okay u si recomiendo producto"
"13",56,"primera vez compro marca normalmente talla americanino aca queda perfecto u si recomiendo producto"
"14",57,"compre blanco quede conforme tiro alto cae grueso delgado talla compre elasticado quedo perfecto mido quedo justo largo recomiendo u si recomiendo producto"
"15",59,"compre talla hago siempre tambien guiandome tabla tallas pesimo quedaron super chicos recomiendo comprar talla ma habitual"
"16",60,"encanto queda lindo puesto talla talla correcta aun elasticados queda bien u si recomiendo producto"
"17",69,"lindo compre jeans negro talla quedo super bien compren talla ma talla menos ser talla exacta cae queda ajustado piernas arriba apreta super lindo uufef u si recomiendo producto"
"18",78,"compre azul tal foto tela elasticada recomiendo pedir talla ma quede conforme"
"19",80,"compre negro tal foto modelo pequeno siempre compro vez compre quedo chico justo tela tan elasticada u si recomiendo producto"
"20",82,"bellos material genial detalles tal ven fotos u si recomiendo producto"
"21",86,"compre negro quedo chico pedir talla ma u si recomiendo producto"
"22",93,"lindos calce perfecto comodos u si recomiendo producto"
"23",100,"mui comodo fresco tan pitillo da mayor comodidad u si recomiendo producto"
"24",105,"lindo comodo igual foto talla normal doblado abajo puede sacar entonces queda ma largo puede usar dos formas"
"25",106,"rajo primer dia use rodillas abrio tooodo"
"26",111,"lindo calce modelo buen producto cintura u si recomiendo producto"
"27",112,"yeans bonitos quedan bien comodos buen precio u si recomiendo producto"
"28",120,"gustaron aunque mom ma bien pitillo uso talla compre blancos gruesos transparentan bueno elasticados tiro alto u si recomiendo producto"
"29",124,"encontre estilo mom compre blanco talla compre quedara holgado quedo demasiado grande quedo chico asi cambiarlos modelo buena eleccion"
"30",130,"talla compre talla azul quedaron super similar have chica fotos tiro alto cubren apenas ombligo si estilo tipo mom bonito calce llego dia esperado u si recomiendo producto"
"31",131,"super comodo elasticado talla corresponde medias u si recomiendo producto"
"32",136,"dos negro blanco blanco ma pequeno debi haber pedido talla ma queda jeans skinny bien bonitos buena calidad precio u si recomiendo producto"
"33",139,"lindo calze comodo bien imposible sacar pelusas pegan demasiado"
"34",143,"generalmente talla sybilla compre jeans talla quedo grande cintura unico malo demas bien u si recomiendo producto"
