"","id","text","sentimiento"
"1",1,"igual muestra foto pedi talla ma quedo grande recomiendo pedir talla elastico adapta cuerpo u si recomiendo producto",1
"2",2,"talla compre misma talla negro quedaron bastante bien elasticados recomiendo compren talla pantalon realmente da ser piernas gorditas ahi si seria bueno talla ma efecto mom contrario queda cualquier pantalon u si recomiendo producto",1
"3",3,"compre jeans negro talla quedo super bien aunque apretado piernas piernas grandes llego rapido tela gruesa rigida",1
"4",4,"porfavor traigan stock celeste talla u si recomiendo producto",1
"5",5,"buen producto u si recomiendo producto",1
"6",6,"elasticado realmente comodo piernas anchas siento adapta cuerpo uso siento desgana recomendable u si recomiendo producto",1
"7",7,"jeans negro modelo chico pedir talla ma ademas tiro medio alto tela rigida arruga nivel rodillas llego dia despues confirmado pedido u si recomiendo producto",0
"8",8,"negro azul realmente encantan tela rigida comienzo pense iban quedar si dan",1
"9",9,"compre talla caderas anchas quedaron bien estiran pasar tiempo exceso u si recomiendo producto",1
"10",10,"facil usar limpiar manejar excelente u si recomiendo producto",1
"11",11,"buena calidad llevo meses usando problema destino ma normal primer lavado tan elasticados gusta u si recomiendo producto",1
"12",12,"colchon agradable lamentablemente ma pequeno base cama medida cama plaza rellenar l cabecera cama almohadas completara medida pude cambiarlo esperas producto eternas",0
"13",13,"modelos misma marca compre talla quedo perfecto elastico calce perfecto canse pitillos doblaje abajo desarme q puede quedar ma largoahora esperando q stock azul u si recomiendo producto",1
"14",14,"pongo estrellas q publican comentario mala calidad primera postura subo qdo pretina mano",0
"15",15,"compre colchon salio defectuoso fecha resuelto",0
"16",16,"compre modelo celeste clarito tienda quedo perfecto luego pedi negro quedo ma ajustado tan elasticas uso quedo casi casi igual entonces recomiendo pedir talla ma color u si recomiendo producto",1
"17",17,"problema primeros meses u si recomiendo producto",1
"18",18,"talla normalmente compre negro quedo super bien elasticado contenta compra",1
"19",19,"pedir talla ma justo cadera cintura perfecto u si recomiendo producto",1
"20",20,"tela delgada elasticada super comoda habitualmente talla leu habia pedir dos tallas ma elegi talla ma grande sybilla quedo regio super comodo modelo super simple color igual foto publicitaria bonito calce ahora si buscas modelo mom jeans ma buen clasico u si recomiendo producto",1
"21",21,"excelente producto envio fecha acordada",1
"22",22,"pedi azul claro llego igual quede quedan lindos compre guie tabla comentarios quedaron bien u si recomiendo producto",1
"23",23,"colchon comodo terminaron dolor espalda compre enncyber monday mejor desicion u si recomiendo producto",1
"24",24,"lindos comodos digan modelo amy compra nombre unico azul oscuro mismo muestra imagen oscuro demas okay u si recomiendo producto",1
"25",25,"primera vez compro marca normalmente talla americanino aca queda perfecto u si recomiendo producto",1
"26",26,"u si recomiendo producto",1
"27",27,"compre blanco quede conforme tiro alto cae grueso delgado talla compre elasticado quedo perfecto mido quedo justo largo recomiendo u si recomiendo producto",1
"28",28,"primera vez llego hicieron tira inmediato plastico une ahora despues meses estan sonando resorte recomiendo",0
"29",29,"compre talla hago siempre tambien guiandome tabla tallas pesimo quedaron super chicos recomiendo comprar talla ma habitual",0
"30",30,"elasticado pedi talla queda grande cintura ademas dia agranda ma lindo comprar talla menos u si recomiendo producto",1
"31",31,"encanto queda lindo puesto talla talla correcta aun elasticados queda bien u si recomiendo producto",1
"32",32,"u si recomiendo producto",1
"33",33,"lindo compre jeans negro talla quedo super bien compren talla ma talla menos ser talla exacta cae queda ajustado piernas arriba apreta super lindo uufef u si recomiendo producto",1
"34",34,"producto malo compres fallo tres meses dia justo expirar garantia tienda si programado decepcionado marca",0
"35",35,"compre azul tal foto tela elasticada recomiendo pedir talla ma quede conforme",1
