"","X1","X1_1","text","positivo","negativo"
"1",1,5,"igual muestra foto pedi talla ma quedo grande recomiendo pedir talla elastico adapta cuerpo u si recomiendo producto",1,0
"2",2,6,"porfavor traigan stock celeste talla u si recomiendo producto",1,0
"3",3,14,"elasticado realmente comodo piernas anchas siento adapta cuerpo uso siento desgana recomendable u si recomiendo producto",1,0
"4",4,20,"negro azul realmente encantan tela rigida comienzo pense iban quedar si dan",1,0
"5",5,23,"compre talla caderas anchas quedaron bien estiran pasar tiempo exceso u si recomiendo producto",1,0
"6",6,24,"buena calidad llevo meses usando problema destino ma normal primer lavado tan elasticados gusta u si recomiendo producto",1,0
"7",7,26,"pongo estrellas q publican comentario mala calidad primera postura subo qdo pretina mano",0,1
"8",8,29,"compre modelo celeste clarito tienda quedo perfecto luego pedi negro quedo ma ajustado tan elasticas uso quedo casi casi igual entonces recomiendo pedir talla ma color u si recomiendo producto",1,0
"9",9,32,"talla normalmente compre negro quedo super bien elasticado contenta compra",1,0
"10",10,36,"pedir talla ma justo cadera cintura perfecto u si recomiendo producto",1,0
"11",11,41,"pedi azul claro llego igual quede quedan lindos compre guie tabla comentarios quedaron bien u si recomiendo producto",1,0
"12",12,52,"lindos comodos digan modelo amy compra nombre unico azul oscuro mismo muestra imagen oscuro demas okay u si recomiendo producto",1,0
"13",13,56,"primera vez compro marca normalmente talla americanino aca queda perfecto u si recomiendo producto",1,0
"14",14,57,"compre blanco quede conforme tiro alto cae grueso delgado talla compre elasticado quedo perfecto mido quedo justo largo recomiendo u si recomiendo producto",1,0
"15",15,59,"compre talla hago siempre tambien guiandome tabla tallas pesimo quedaron super chicos recomiendo comprar talla ma habitual",0,1
"16",16,60,"encanto queda lindo puesto talla talla correcta aun elasticados queda bien u si recomiendo producto",1,0
"17",17,69,"lindo compre jeans negro talla quedo super bien compren talla ma talla menos ser talla exacta cae queda ajustado piernas arriba apreta super lindo uufef u si recomiendo producto",1,0
"18",18,78,"compre azul tal foto tela elasticada recomiendo pedir talla ma quede conforme",1,0
"19",19,80,"compre negro tal foto modelo pequeno siempre compro vez compre quedo chico justo tela tan elasticada u si recomiendo producto",0,1
