"","X1","text"
"1",1,"verdad compre ninguna gran expectativa comentarios quedaron bien talla corresponde buen calce celeste azul oscuro"
"2",2,"pantalon venia sucio cierre roto ademas ninguna etiqueta decilusion"
"3",3,"buen calce comodo tiro alto feliz compra"
"4",8,"pedi misma talla siempre quedo super bien tela gruesa llego dias u si recomiendo producto"
"5",9,"quedaron super ahora quiero comprar negros talla u si recomiendo producto"
"6",10,"compre celeste queda bien tela puedes ocupar invierno noches verano buen calce quedo perfecto u si recomiendo producto"
"7",11,"tal ala foto elasticado talla pequena pedir talla ma si quieres quede tan ajustado"
"8",13,"tela moderadamente elasticada comoda malo skinny compre talla ma aun asi quedo ajustado muslos gemelos aun asi color muu lindo tal imagenes u si recomiendo producto"
"9",15,"tiro alto super comodos elasticados pidan talla ma menos azul oscuro celeste talla corresponde si quedaran sueltos u si recomiendo producto"
"10",18,"compro celeste tal medidas die tabla comprar talla ma seria gran utilidad si contestaran gracias"
"11",21,"lindo material mala calidad rigido modelo gusto"
"12",25,"blanco transluce delgado comodo verano u si recomiendo producto"
"13",28,"compre talla quedo apretado elasticado comprare talla ma darian hacer cambio llame u si recomiendo producto"
"14",31,"normalmente talla jeans compre talla ma q sub siempre ma chicos comunmente quedaron super ancha caderas muslos quedaron ajustados bien elacticados negro tan oscuro compre negro azul precio q decir u si recomiendo producto"
"15",33,"lindo modelo demaciado apretado elasticado recomiendo comprar tallas ma usan tiro medio"
"16",34,"compre negro talla quedo super bien modelo amy u si recomiendo producto"
"17",35,"encanto comodos talla perfecta compre uso siempre quedaron bien excelente compra entrega rapida u si recomiendo producto"
"18",37,"comodos habia comprado nunca marca encontre buscaba blanco rasgado tiro alto ademas llegaron fecha estipulada asi felizu u si recomiendo producto"
"19",38,"compre jeans negro pedi talla normal tenia jeans azul pequeno modelo color elasticado u si recomiendo producto"
"20",39,"talla pedi jeans quedo pequeno recomendaria pedir talla ma"
"21",40,"dos colores calce super lindo blanco trasluce incluso ropa interior blanca u si recomiendo producto"
"22",42,"lindo duro chico pedi talla ma quede holgado aun asi quedo super apretado elasticado modelo amy"
"23",44,"compre celeste negro ambos talla celeste quedo perfecto decir negro quedo ajustado corto tiro cambiar aparentemente telas distintas celeste ma docil elasticada cambio negro ma tiesa elasticada asi recomiendo si van comprar celeste compren talla corresponde negro dos tallas ma"
