"palabra","positivo","negativo","sentimiento"
", típico de Apple
<U+2714> Sí, recomiendo este producto.",0,0,0
"¡¡Muy buen producto!! Gasta lo mínimo de electricidad, hornea de maravilla.",6,3,1
"¡Me encanto! El pan queda muy rico y es extremadamente facil de usar. Se puede programar para que el pan este listo a la hora que uno quiera y eso es maravilloso para mi. La receta que trae la maquina no la recomiendo, el pan queda malo, pero hay muchas en internet que funcionan de maravilla.",6,3,1
"(Esta reseña se ha recibido a través de una promoción.) Al ser un calzado urbano, es muy cómodo. Me encanta el nuevo diseño, alto y canchero.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com",1,2,0
"(Esta reseña se ha recibido a través de una promoción.) Calzado clásico, con un diseño exterior de tela y cuero. Muy cómodas, utilizables tanto para hacer deporte o para todos los dias.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com",2,1,1
"(Esta reseña se ha recibido a través de una promoción.) Calzado muy casual para salir con tus amigos o vestir casual!
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com",2,1,1
"(Esta reseña se ha recibido a través de una promoción.) Calzado qué Combina moda y calidad en cada una de sus Partes . Calzado hecho para durar qué té quedará con tu Estilo casual Deportivo
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com",2,0,1
"(Esta reseña se ha recibido a través de una promoción.) Es súper cómodo , me gustan mucho como me queda super como los visto
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com",1,0,1
"(Esta reseña se ha recibido a través de una promoción.) Es un calzado con estilo urbano, hechos para correr con suela gruesa que te permite un mejor desempeño!
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com",3,0,1
"(Esta reseña se ha recibido a través de una promoción.) Es un calzado de horma ancha, perfecta para pies anchos, muy cómodas y ligeras.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com",1,1,0
"(Esta reseña se ha recibido a través de una promoción.) Estilo increíble inspirado en los 90, para mujer, están inspirados en el running, una capellada de cuero y tela, es suave y flexible, calzado qué Combina moda y calidad en cada una de sus Partes.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com",3,0,1
"(Esta reseña se ha recibido a través de una promoción.) Estilo y look ala hora de vestir con exelente comodidad y refuerzo en la suela en caucho para dar mayor durabilidad
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com",7,0,1
"(Esta reseña se ha recibido a través de una promoción.) Muy buena relación calidad precio, y un producto muy versátil para su uso
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com",1,1,0
"(Esta reseña se ha recibido a través de una promoción.) muy lindas, comodas y resistentes. Te da mas altura y estilo. Combinables con todo. Perfectas
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com",2,1,1
"(Esta reseña se ha recibido a través de una promoción.) un excelente modelo para correr, son muy comodas y espaciosas por dentro
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com",3,1,1
"<U+2714> Sí, recomiendo este producto.",0,0,0
"1 año y medio que la tengo, realmente es genial, recetas muy fáciles, pan rico. en estos momentos ya tengo que cambiarla porque al tambor se le cae el fierro del aspa y se cae el agua y suena... pero la maquina se paso.. todo este tiempo casi todos los días se hacía pan.",2,2,0
"100 recomendable
Es completamente original
<U+2714> Sí, recomiendo este producto.",3,0,1
"100% desechable, duró 5 meses...",0,0,0
"100% original y muy buenos accesorios",0,1,0
"100% recomendable, fácil de usar y manipular. excelente producto
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl",2,1,1
"100% recomendable, funciona a la perfección",1,0,1
"100% recomendable, muy liviano, fácil manejo, se carga muy rápidamente.
<U+2714> Sí, recomiendo este producto.",1,2,0
"100% recomendada, hago la masa y luego hago pequeños bollitos para hacer pan para tapaditos, o poner en un molde para hacerlo mas pequeño y fácil de cortar, y también hago los ciclos completos, la dejo programada y lo saco en la mañana, seis de la mañana y toda la casa huele a pan recién horneado... una delicia",2,3,0
"6 meses y ya no funciona, para utilizarlo debe estar conectado a la corriente. Pésima relación precio/calidad atendiendo ppalmente la poca garantía que ofrece. No lo recomiendo.",0,0,0
"A la fecha el equipo esta impecable, su sistema operativo es rapidísimo, si te saltas de un Windows a un MacOS no te será tan difícil acostumbrarte, el trackpad o (touchpad) es francamente una maravilla!! Sugiero pedir envío programado... recomendadisimo!!
<U+2714> Sí, recomiendo este producto.",3,0,1
"A la segunda vez que la utilicé dejó de funcionar, se quemo.... así que no la recomiendo",1,0,1
"A la semana se echó a perder, la parte de abajo no encendía, tuvimos que cambiar el producto y por el momento todo bien",0,12,0
