"","Palabra","negative","positive","positivo","negativo"
"1","excelente",0,1,1,0
"2","producto",0,0,0,0
"3","quede",0,0,0,0
"4","muy",1,0,0,0
"5","conforme",0,0,1,0
"6","y",0,0,0,0
"7","los",0,0,0,0
"8","veladores",0,0,0,0
"9","bien",0,0,1,0
"10","armados",0,0,0,0
"11","u",0,0,0,0
"12","2714",0,0,0,0
"13","s",0,0,0,0
"14","recomiendo",0,0,1,0
"15","este",0,0,0,0
"16","producto",0,0,0,0
"17","maravillosa",0,0,1,0
"18","buen",0,0,1,0
"19","colch",0,0,0,0
"20","n",0,0,0,0
"21","el",0,0,0,0
"22","empalizado",0,0,0,0
"23","de",0,0,0,0
"24","la",0,0,0,0
"25","base",0,0,0,0
"26","muy",1,0,0,0
"27","fr",0,0,0,0
"28","gil",0,0,0,0
"29","y",0,0,0,0
"30","delgados",0,0,0,0
"31","los",0,0,0,0
"32","palos",0,0,0,0
"33","al",0,0,0,0
"34","tercer",0,0,0,0
"35","d",0,0,0,0
"36","a",0,0,0,0
"37","se",0,0,0,0
"38","quebr",0,0,0,0
"39","un",0,0,0,0
"40","larguero",0,0,0,0
"41","del",0,0,0,0
"42","lado",0,0,0,0
"43","exterior",0,0,0,0
"44","tres",0,0,0,0
"45","posturas",0,0,0,0
"46","y",0,0,0,0
"47","se",0,0,0,0
"48","rajaron",0,0,0,0
"49","el",0,0,0,0
"50","azul",0,0,0,0
"51","oscuro",0,0,0,0
"52","y",0,0,0,0
"53","celeste",0,1,0,0
"54","p",0,0,0,0
"55","simo",0,0,0,1
"56","el",0,0,0,0
"57","producto",0,0,0,0
"58","cumple",0,0,0,0
"59","con",0,0,0,0
"60","la",0,0,0,0
"61","descripcion",0,0,0,0
"62","f",0,0,0,0
"63","cil",0,0,0,0
"64","armado",1,1,0,0
"65","y",0,0,0,0
"66","muy",1,0,0,0
"67","c",0,0,0,0
"68","moda",0,0,1,0
"69","lleg",0,0,0,0
"70","antes",0,0,0,0
"71","de",0,0,0,0
"72","lo",0,0,0,0
"73","programado",0,0,0,0
"74","ha",0,0,0,0
"75","funcionado",0,0,0,0
"76","muy",1,0,0,0
"77","bien",0,0,1,0
"78","u",0,0,0,0
"79","2714",0,0,0,0
"80","s",0,0,0,0
"81","recomiendo",0,0,1,0
"82","este",0,0,0,0
"83","producto",0,0,0,0
"84","muy",1,0,0,0
"85","comoda",0,0,1,0
"86","todo",0,0,0,0
"87","bien",0,0,1,0
"88","sus",0,0,0,0
"89","almuhadas",0,0,0,0
"90","super",0,0,0,0
"91","flexible",0,0,0,0
"92","u",0,0,0,0
"93","2714",0,0,0,0
"94","s",0,0,0,0
"95","recomiendo",0,0,1,0
"96","este",0,0,0,0
"97","producto",0,0,0,0
"98","el",0,0,0,0
"99","color",0,0,0,0
"100","es",0,0,0,0
"101","m",0,0,0,0
"102","s",0,0,0,0
"103","oscuro",0,0,0,0
"104","que",0,0,0,0
"105","el",0,0,0,0
"106","de",0,0,0,0
"107","la",0,0,0,0
"108","foto",0,0,0,0
"109","compr",0,0,0,0
"110","este",0,0,0,0
"111","set",0,0,0,0
"112","hace",0,0,0,0
"113","2",0,0,0,0
"114","a",0,0,0,0
"115","os",0,0,0,0
"116","los",0,0,0,0
"117","veladores",0,0,0,0
"118","el",0,0,0,0
"119","respaldo",0,0,0,0
"120","y",0,0,0,0
"121","la",0,0,0,0
"122","cama",0,0,0,0
"123","europea",0,0,0,0
"124","son",0,0,0,0
"125","buenos",0,0,1,0
"126","pero",0,0,0,0
"127","el",0,0,0,0
"128","colchon",0,0,0,0
"129","no",0,0,0,1
"130","lo",0,0,0,0
"131","es",0,0,0,0
"132","dur",0,0,0,0
"133","unos",0,0,0,0
"134","meses",0,0,0,0
"135","bien",0,0,1,0
"136","y",0,0,0,0
"137","despu",0,0,0,0
"138","s",0,0,0,0
"139","se",0,0,0,0
"140","hundi",0,0,0,0
"141","no",0,0,0,1
"142","recomiendo",0,0,1,0
"143","el",0,0,0,0
"144","colch",0,0,0,0
"145","n",0,0,0,0
"146","no",0,0,0,1
"147","era",0,0,0,0
"148","lo",0,0,0,0
"149","que",0,0,0,0
"150","esperaba",0,0,0,0
"151","no",0,0,0,0
"152","fue",0,0,0,0
"153","una",0,0,0,0
"154","buena",0,0,1,0
"155","decisi",0,0,0,0
"156","n",0,0,0,0
"157","comprarla",0,0,0,0
"158","muy",1,0,0,0
"159","buen",0,0,1,0
"160","producto",0,0,0,0
"161","esperemos",0,0,0,0
"162","que",0,0,0,0
"163","tal",0,0,0,0
"164","se",0,0,0,0
"165","comporta",0,0,0,0
"166","en",0,0,0,0
"167","unos",0,0,0,0
"168","meses",0,0,0,0
"169","m",0,0,0,0
"170","s",0,0,0,0
"171","muy",1,0,0,0
"172","buen",0,0,1,0
"173","producto",0,0,0,0
"174","se",0,0,0,0
"175","recomienda",0,0,1,0
"176","publicada",0,0,0,0
"177","originalmente",0,0,0,0
"178","en",0,0,0,0
"179","sodimac.cl",0,0,0,0
"180","son",0,0,0,0
"181","bacanes",0,0,1,0
"182","muy",1,0,0,0
"183","lindos",0,0,1,0
"184","c",0,0,0,0
"185","modos",0,0,1,0
"186","y",0,0,0,0
"187","tienen",0,0,0,0
"188","muy",1,0,0,0
"189","buen",0,0,1,0
"190","calce",0,0,0,0
"191","la",0,0,0,0
"192","talla",0,0,0,0
"193","esta",0,0,0,0
"194","ok",0,0,1,0
"195","los",0,0,0,0
"196","recomiendo",0,0,1,0
"197","u",0,0,0,0
"198","2714",0,0,0,0
"199","s",0,0,0,0
"200","recomiendo",0,0,1,0
"201","este",0,0,0,0
"202","producto",0,0,0,0
"203","malisimo",0,0,0,1
"204","dur",0,0,0,0
"205","muy",1,0,0,0
"206","poco",0,0,0,0
"207","ya",0,0,0,0
"208","se",0,0,0,0
"209","le",0,0,1,0
"210","sienten",0,0,0,0
"211","los",0,0,0,0
"212","resortes",0,0,0,0
"213","excelente",0,1,1,0
"214","producto",0,0,0,0
"215","env",0,0,0,0
"216","o",0,0,0,0
"217","en",0,0,0,0
"218","fecha",0,0,0,0
"219","acordada",0,0,0,0
"220","botella",0,0,0,0
"221","de",0,0,0,0
"222","buen",0,0,1,0
"223","pl",0,0,0,0
"224","stico",0,0,0,0
"225","pero",0,0,0,0
"226","falta",2,0,0,1
"227","potencia",0,1,0,0
"228","en",0,0,0,0
"229","los",0,0,0,0
"230","licuados",0,0,0,0
"231","pero",0,0,0,0
"232","en",0,0,0,0
"233","relaci",0,0,0,0
